System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-29 19:00:54.6496023
System,Displayed guest menu,2022-05-29 19:00:54.6576026
System,Menu initialized,2022-05-29 19:03:21.2086495
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-29 19:03:21.2326393
System,Displayed guest menu,2022-05-29 19:03:21.2406421
System,Menu initialized,2022-05-29 21:59:47.3906399
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-29 21:59:47.4226511
System,Displayed guest menu,2022-05-29 21:59:47.4306388
User id: 964f96ed-1af3-4e10-9388-6f18205a42c7,Logged in,2022-05-29 22:01:35.3366612
System,Displayed admin menu,2022-05-29 22:01:35.3366612
Admin id: 964f96ed-1af3-4e10-9388-6f18205a42c7,,Registered new driver,2022-05-29 22:01:40.8830125
System,Displayed admin menu,2022-05-29 22:02:36.8356036
Admin id: 964f96ed-1af3-4e10-9388-6f18205a42c7,,Logged off,2022-05-29 22:06:32.2952497
System,Displayed guest menu,2022-05-29 22:06:32.2952497
System,Menu initialized,2022-05-29 22:59:56.4879806
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-29 22:59:56.5279889
System,Displayed guest menu,2022-05-29 22:59:56.543977
System,Displayed guest menu,2022-05-29 23:00:17.2245603
System,Displayed guest menu,2022-05-29 23:00:39.2204098
System,Displayed guest menu,2022-05-29 23:01:25.6638898
System,Menu initialized,2022-05-29 23:50:34.0227413
System,Added restaurant id: d245eb55-4add-420f-be7e-54bdeef1f7a7 to restaurant list,2022-05-29 23:50:34.0467391
System,Displayed guest menu,2022-05-29 23:50:34.0627358
User id: 1f99f5a7-20e6-40ac-a893-db3fc9695dee,Logged in,2022-05-29 23:51:08.1000075
System,Displayed driver menu,2022-05-29 23:51:08.1000075
Driver id: 1f99f5a7-20e6-40ac-a893-db3fc9695dee,logged off,2022-05-29 23:51:17.3544624
System,Displayed guest menu,2022-05-29 23:51:17.3544624
System,Menu initialized,2022-05-29 23:59:27.9632237
